WORDCOUNT RESULTS:  assets/thetorylover.txt
flesh  =>  1
possesses  =>  1
corners  =>  1
sticking  =>  3
schoolfellow  =>  1
Thornton  =>  4
jovial  =>  1
gadflies  =>  1
blinded  =>  1
fish  =>  4
wages  =>  1
piracy  =>  3
clearly  =>  3
fifty  =>  5
meant  =>  16
splendor  =>  2
perhaps  =>  13
Cuffee  =>  1
run  =>  20
mud  =>  5
excitement  =>  14
arduous  =>  1
furrowed  =>  1
belongs  =>  3
reputation  =>  3
surrounders  =>  1
references  =>  2
which  =>  169
successful  =>  2
sighted  =>  3
visions  =>  2
drooping  =>  3
wavered  =>  1
furthering  =>  2
forget  =>  33
pinched  =>  1
handed  =>  5
pupil  =>  2
hoofs  =>  1
mail  =>  1
natural  =>  18
equal  =>  5
wondrous  =>  2
tablets  =>  1
City  =>  1
personal  =>  3
fist  =>  4
outcries  =>  2
About  =>  1
hopeful  =>  4
idlers  =>  2
awkwardly  =>  1
clattering  =>  2
helpless  =>  4
deliver  =>  1
found  =>  54
Kersaint  =>  1
tampered  =>  2
pillow  =>  2
narrow  =>  22
caltrops  =>  1
Dame  =>  1
FITNESS  =>  1
years  =>  42
command  =>  28
ag  =>  1
twig  =>  3
POSSIBILITY  =>  1
water  =>  53
agone  =>  1
sleeve  =>  2
stranger  =>  13
fawn  =>  1
protests  =>  1
anguish  =>  1
Jacobean  =>  1
wrong  =>  21
GUTENBERG  =>  2
XVII  =>  2
swift  =>  10
mulled  =>  3
barefoot  =>  1
world  =>  48
travel  =>  8
Ridge  =>  1
bounds  =>  1
WARRANTY  =>  2
Moody  =>  1
stop  =>  10
uupainted  =>  1
ringing  =>  2
cheated  =>  1
hurting  =>  1
forwarded  =>  1
XII  =>  2
apparent  =>  4
weighing  =>  1
accusation  =>  4
demanding  =>  2
oaken  =>  1
surprising  =>  2
rounds  =>  3
hull  =>  3
bu  =>  1
penny  =>  3
EBOOK  =>  2
full  =>  76
grassy  =>  2
knowledge  =>  8
discovered  =>  2
filled  =>  11
balloon  =>  1
party  =>  17
fettered  =>  1
X  =>  2
conferences  =>  1
destroyed  =>  2
sevenfold  =>  1
depth  =>  1
22  =>  1
writing  =>  11
Jean  =>  1
butt  =>  1
hither  =>  3
ACTUAL  =>  1
cool  =>  6
factious  =>  1
debts  =>  1
n  =>  41
sidewise  =>  1
coaches  =>  1
hindrance  =>  3
Twa  =>  1
sketches  =>  1
afterglow  =>  1
dominating  =>  1
Madame  =>  1
helper  =>  1
gaining  =>  1
well  =>  141
lucky  =>  7
adventuring  =>  1
bleedin  =>  1
footstep  =>  4
gilded  =>  2
stole  =>  8
1901  =>  2
luxurious  =>  1
part  =>  39
eddy  =>  2
squinched  =>  1
Widow  =>  1
forces  =>  1
curiously  =>  1
they  =>  529
up  =>  180
panelings  =>  1
china  =>  1
scale  =>  1
villain  =>  2
colleagues  =>  1
Past  =>  1
classic  =>  1
picked  =>  4
boatman  =>  3
sence  =>  2
owe  =>  1
menagerie  =>  1
borders  =>  1
International  =>  1
LIST  =>  1
move  =>  7
spread  =>  14
event  =>  4
Hearts  =>  1
taught  =>  9
Hunscom  =>  1
lapping  =>  1
fed  =>  1
surprised  =>  1
Soul  =>  1
ministry  =>  1
chilliness  =>  1
Milton  =>  1
pest  =>  2
opening  =>  1
rivalry  =>  1
paragraph  =>  10
son  =>  61
cider  =>  1
fringe  =>  1
Is  =>  10
receive  =>  6
driven  =>  12
modified  =>  1
supplant  =>  3
superiors  =>  2
hood  =>  3
veniens  =>  1
strewed  =>  1
GOES  =>  1
AK  =>  1
counseled  =>  2
ruined  =>  6
lawbreakers  =>  1
fondly  =>  1
rescued  =>  1
companies  =>  1
situation  =>  12
squirrels  =>  2
Watch  =>  4
Hart  =>  1
few  =>  47
Arouet  =>  2
truth  =>  20
effects  =>  3
lax  =>  2
quarreling  =>  1
proposed  =>  1
on  =>  620
nose  =>  3
wrung  =>  3
Trinity  =>  1
tangled  =>  2
approach  =>  6
righteous  =>  1
sticks  =>  2
adviser  =>  1
without  =>  71
pound  =>  1
denied  =>  4
trilled  =>  1
nelon  =>  3
obedience  =>  3
splashing  =>  1
sightseers  =>  2
varied  =>  2
yours  =>  5
spatter  =>  1
unlucky  =>  2
amusements  =>  1
Berwick  =>  23
round  =>  22
helps  =>  2
havin  =>  1
arraignment  =>  1
suit  =>  2
hillside  =>  2
meek  =>  1
ends  =>  8
quickly  =>  43
playmate  =>  2
awhile  =>  1
twas  =>  2
persist  =>  1
If  =>  88
pictured  =>  1
20th  =>  1
bees  =>  1
framed  =>  1
cents  =>  2
mischance  =>  2
easterly  =>  3
knolls  =>  1
provision  =>  3
please  =>  6
commission  =>  10
lit  =>  9
S  =>  16
turk  =>  1
overboard  =>  5
thorn  =>  1
CAPTIVE  =>  1
Liberty  =>  9
provisions  =>  2
verse  =>  1
Maybe  =>  1
profits  =>  1
both  =>  72
sorrier  =>  1
rainy  =>  3
rope  =>  2
indulgent  =>  1
lattice  =>  1
gayer  =>  2
Passage  =>  15
should  =>  145
bound  =>  15
adzes  =>  1
merrily  =>  1
eighteen  =>  1
desk  =>  1
